rmse,loss,tr_loss,params.ItemTraitFeatureWeightPriorVariance,params.ItemTraitVariance,params.UserTraitFeatureWeightPriorVariance,params.UserTraitVariance,params.iterationCount,params.traitCount,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.91108,1.8572854924852646,1.9003401111212082,0,0,2,0,10.0,18.0,131.48158168792725,ok,0.15609577895314433,0.14951775792159103,100000
1.91108,1.8572854924852646,1.9003401111212082,0,0,2,0,10.0,18.0,130.94313955307007,ok,0.15609577895314433,0.14951775792159103,100000
1.91108,1.8572854924852646,1.9003401111212082,1,2,1,1,10.0,18.0,131.26465129852295,ok,0.15609577895314433,0.14951775792159103,100000
1.91108,1.8572854924852646,1.9003401111212082,0,0,0,0,10.0,18.0,130.94955372810364,ok,0.15609577895314433,0.14951775792159103,100000
1.91108,1.8572854924852646,1.9003401111212082,1,0,2,0,10.0,18.0,131.02248191833496,ok,0.15609577895314433,0.14951775792159103,100000
1.91108,1.8572854924852646,1.9003401111212082,1,2,1,2,10.0,18.0,131.42983198165894,ok,0.15609577895314433,0.14951775792159103,100000
1.9124,1.8585101157004944,1.9017224360772291,1,2,1,0,10.0,17.0,129.88524389266968,ok,0.15590473743925087,0.14931121857858018,100000
1.9124,1.8585101157004944,1.9017224360772291,0,0,2,0,10.0,17.0,130.71374773979187,ok,0.15590473743925087,0.14931121857858018,100000
1.9124,1.8585101157004944,1.9017224360772291,2,0,1,0,10.0,17.0,129.7536952495575,ok,0.15590473743925087,0.14931121857858018,100000
1.9124,1.8585101157004944,1.9017224360772291,0,0,1,1,10.0,17.0,129.81581115722656,ok,0.15590473743925087,0.14931121857858018,100000
1.91248,1.8593058344046958,1.9024067941951115,0,0,2,0,10.0,16.0,128.94126844406128,ok,0.15578073046747343,0.14920907119073876,100000
1.93836,1.8598511185853033,1.8917127720298226,2,2,0,0,10.0,4.0,116.51646280288696,ok,0.1556958088548162,0.15081327873246836,100000
1.93836,1.8598511185853033,1.8917127720298226,2,1,0,0,10.0,4.0,116.58467125892639,ok,0.1556958088548162,0.15081327873246836,100000
1.90988,1.8603035003493953,1.903357707027659,2,0,2,1,10.0,15.0,128.31178736686707,ok,0.1556253908392587,0.14906725380888147,100000
1.93264,1.8623222781812299,1.898581614816679,1,2,1,1,10.0,6.0,118.22768545150757,ok,0.1553115346597031,0.1497809156594987,100000
1.91508,1.8638979847534984,1.9047806232338538,0,0,2,2,10.0,10.0,122.10476922988892,ok,0.15506700196027634,0.14885529443360163,100000
1.91508,1.8638979847534984,1.9047806232338538,1,2,1,2,10.0,10.0,122.15562319755554,ok,0.15506700196027634,0.14885529443360163,100000
1.90544,1.86390112481365,1.9067605943674357,2,0,1,1,10.0,12.0,124.68343257904053,ok,0.15506651504132715,0.1485608568327074,100000
1.92948,1.8639920070646814,1.901840402214312,0,0,1,0,10.0,7.0,119.43405556678772,ok,0.15505242288775362,0.14929360594976862,100000
1.91204,1.865497242251254,1.9072016052941667,0,0,2,1,10.0,11.0,123.46837162971497,ok,0.1548192080906525,0.14849535431628402,100000
1.91296,1.8655652665044975,1.9049114225812318,1,2,1,0,10.0,9.0,121.47965741157532,ok,0.15480867698782363,0.14883582553152352,100000
1.93212,1.8750075619483073,1.9076367653586916,0,0,2,0,20.0,3.0,232.72583603858948,ok,0.15335380718698116,0.14843074912613696,100000
1.88236,1.8854002460925523,1.9388434231263827,0,0,1,0,20.0,20.0,268.73743963241577,ok,0.1517683026013107,0.14387025059396438,100000
1.88236,1.8854002460925523,1.9388434231263827,1,1,1,0,20.0,20.0,269.29687213897705,ok,0.1517683026013107,0.14387025059396438,100000
1.88236,1.8854002460925523,1.9388434231263827,1,1,1,0,20.0,20.0,267.73907828330994,ok,0.1517683026013107,0.14387025059396438,100000
1.88236,1.8854002460925523,1.9388434231263827,0,1,2,1,20.0,20.0,268.2836675643921,ok,0.1517683026013107,0.14387025059396438,100000
1.88104,1.8890773900475981,1.943414652011167,0,1,0,1,20.0,18.0,262.81547713279724,ok,0.1512112535073599,0.14321408762694743,100000
1.88104,1.8890773900475981,1.943414652011167,0,2,0,2,20.0,18.0,264.62426257133484,ok,0.1512112535073599,0.14321408762694743,100000
1.88292,1.891772955267219,1.9454409864112956,0,0,2,1,20.0,17.0,260.87944316864014,ok,0.1508042025742309,0.14292418181686065,100000
1.88292,1.891772955267219,1.9454409864112956,0,0,1,0,20.0,17.0,260.6003382205963,ok,0.1508042025742309,0.14292418181686065,100000
1.88292,1.891772955267219,1.9454409864112956,2,0,1,1,20.0,17.0,260.4092254638672,ok,0.1508042025742309,0.14292418181686065,100000
1.90956,1.892168671964501,1.929020522751133,0,0,2,1,20.0,5.0,236.32548069953918,ok,0.15074453863903825,0.14529043749031623,100000
